CryptoPunkId,ETH,Price
5891,75,98875.50
9670,75,98875.50
4792,75,98875.50
9194,75,98875.50
9901,75,98875.50
4240,75,98875.50
9325,75,98875.50
2013,75,98875.50
3623,75,98875.50
8800,75,98875.50
4246,75,98875.50
6879,75.99,100180.65
8636,75.99,100180.65
8653,76,100193.84
3908,76.5,100853.01
6095,78,102830.52
1966,78,102830.52
8978,79.5,104808.03
9236,79.6,104939.86
6218,79.9,105335.36
2831,79.99,105454.01
8593,79.99,105454.01
2539,79.99,105454.01
6332,79.99,105454.01
9349,79.99,105454.01
4237,80,105467.20
5771,80,105467.20
5183,80,105467.20
6793,80,105467.20
4151,80,105467.20
7527,80,105467.20
7951,80,105467.20
9206,80,105467.20
7562,80,105467.20
9643,80,105467.20
2889,81,106785.54
1775,83,109422.22
8484,84,110740.56
5350,84.95,111992.98
8828,84.99,112045.71
4945,85,112058.90
4815,85,112058.90
7946,85,112058.90
5785,85,112058.90
593,85,112058.90
9443,85,112058.90
3672,85,112058.90
8585,85.85,113179.49
1123,88,116013.92
4926,88,116013.92
6809,88,116013.92
9775,88.88,117174.06
4995,88.88,117174.06
7910,89,117332.26
9010,89.99,118637.41
6060,90,118650.60
3154,90,118650.60
5695,90,118650.60
9707,90,118650.60
486,90,118650.60
339,94,123923.96
9441,94.41,124464.48
6152,94.99,125229.11
9546,95,125242.30
9210,95,125242.30
7015,95,125242.30
9595,95.95,126494.72
3571,96,126560.64
9696,96.96,127826.24
9797,97.97,129157.77
5295,98,129197.32
1677,98,129197.32
8491,99,130515.66
4019,99,130515.66
2981,99,130515.66
1771,99,130515.66
6106,99,130515.66
1508,99,130515.66
4250,99,130515.66
4264,99.9,131702.16
7525,99.99,131820.81
7987,99.99,131820.81
8423,99.99,131820.81
8993,99.99,131820.81
3826,99.99,131820.81
1162,99.99,131820.81
1828,99.99,131820.81
616,99.99,131820.81
1667,99.99,131820.81
6615,99.99,131820.81
6571,99.99,131820.81
2781,100,131834.00
1864,100,131834.00
2168,100,131834.00
5116,100,131834.00
6204,100,131834.00
3731,100,131834.00
9113,100,131834.00
9847,100,131834.00
7917,100,131834.00
9350,100,131834.00
6617,100,131834.00
2367,100,131834.00
7131,100,131834.00
5881,100,131834.00
2336,100,131834.00
6474,100,131834.00
7465,100,131834.00
812,101,133152.34
488,101,133152.34
7674,104.2,137371.02
9867,105,138425.70
3538,105,138425.70
924,109.99,145004.21
7594,111,146335.74
7386,111.11,146480.75
4458,115,151609.10
1717,117.17,154469.89
1919,119.19,157132.94
9268,120,158200.80
1759,120,158200.80
9028,120,158200.80
7734,120,158200.80
2873,123,162155.82
6664,125,164792.50
7802,125,164792.50
2112,129.99,171371.01
9495,130,171384.20
1737,133.7,176262.05
846,133.7,176262.05
8249,135,177975.90
5913,141,185885.94
7261,145,191159.30
7129,148,195114.31
2950,149,196432.65
7828,149.99,197737.81
3085,149.99,197737.81
8617,149.99,197737.81
9641,149.99,197737.81
8547,149.99,197737.81
5924,150,197750.99
3034,150,197750.99
4779,150,197750.99
6091,150,197750.99
9394,150,197750.99
4571,150,197750.99
169,150,197750.99
2054,150,197750.99
8012,150,197750.99
3382,150,197750.99
8082,150,197750.99
3700,155,204342.69
89,175,230709.49
3569,176,232027.83
8998,177,233346.17
9926,185,243892.89
7257,188,247847.91
1512,195,257076.29
3201,199,262349.65
4004,199,262349.65
1883,199.99,263654.81
4041,200,263667.99
6771,200,263667.99
5677,200,263667.99
2624,200,263667.99
2887,200,263667.99
2021,202.1,266436.51
4535,222,292671.47
561,222,292671.47
7563,225,296626.49
5734,225,296626.49
1651,240,316401.59
4055,249,328266.65
4649,249,328266.65
4228,250,329584.99
6720,275,362543.49
8527,280,369135.19
5176,284,374408.55
1839,299.69,395093.30
4740,300,395501.99
9345,300,395501.99
8420,300,395501.99
3165,316.5,417254.60
5234,321,423187.13
6592,333,439007.21
9522,333,439007.21
6660,347,457463.97
3448,350,461418.99
8214,350,461418.99
6807,350,461418.99
9569,360,474602.39
5690,400,527335.99
6792,400,527335.99
3011,400,527335.99
7421,420,553702.79
7971,420,553702.79
3831,420,553702.79
2758,420,553702.79
1472,420,553702.79
5226,420.69,554612.44
921,420.69,554612.44
3835,444,585342.94
4830,499,657851.64
3182,499.99,659156.80
8677,500,659169.98
9960,500,659169.98
4831,500,659169.98
8534,500,659169.98
2121,500,659169.98
9316,500,659169.98
240,500,659169.98
7903,500,659169.98
8344,500,659169.98
5938,500,659169.98
2049,500,659169.98
4670,500,659169.98
9447,530,698720.18
5944,550,725086.98
3754,550,725086.98
1802,550,725086.98
8692,552,727723.66
6704,555,731678.68
14,555,731678.68
9971,555,731678.68
9129,605,797595.68
9498,629,829235.84
2957,650,856920.98
2202,650,856920.98
3768,666,878014.42
6876,666,878014.42
1093,667,879332.76
2883,677,892516.16
2140,750,988754.97
5142,800,1054671.97
2306,800,1054671.97
5002,840,1107405.57
3238,888,1170685.89
1376,888,1170685.89
2534,990,1305156.57
9872,999,1317021.63
2097,999,1317021.63
9633,"1,000",1318339.97
4020,"1,000",1318339.97
2165,"1,000",1318339.97
3015,"1,000",1318339.97
7505,"1,000.01",1318353.15
4557,"1,006",1326250.01
9618,"1,050",1384256.96
1312,"1,312",1729662.04
5217,"1,500",1977509.95
1750,"1,500",1977509.95
6965,"1,500",1977509.95
3891,"1,962",2586583.01
2017,"2,017",2659091.71
3601,"2,047",2698641.91
2983,"2,350",3098098.92
465,"2,499.99",3295836.73
9909,"2,500",3295849.91
2600,"2,600",3427683.91
2295,"2,810.2",3704797.13
7804,"4,200",5537027.86
4904,"5,000",6591699.83
8745,"6,000",7910039.79
547,"6,666",8788054.21
7240,"7,240",9544781.35
6915,"10,000",13183399.66
3591,"10,000",13183399.66
4991,"10,011.1",13198033.38
950,"125,550",165517582.71
7957,"999,999",1318338647.48
6748,"1,010,101,101,110,010,011,000.01",1331656651112430618555708.03
3348,"10,000,000,000,000,000,000,000,000",13183399658203125000000000000.00
1477,"1,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1318339965820312500000000000000000000000000000.00
